group,attribute,value,pct
billing specialist,race,black,14.82
billing specialist,race,asian,5.66
billing specialist,race,hispanic,14.46
billing specialist,gender,female,71.65
billing specialist,gender,male,28.35
bus driver,age,0-16 years old,0.0
bus driver,age,16-24 years old,1.33
bus driver,age,25-34 years old,7.61
bus driver,age,35-44 years old,12.5
bus driver,age,45-54 years old,19.15
bus driver,age,55-64 years old,30.14
bus driver,age,65+ years old,29.27
bus driver,race,white,55.32
bus driver,race,black,24.58
bus driver,race,asian,3.37
bus driver,race,hispanic,16.73
bus driver,gender,female,45.1
bus driver,gender,male,54.9
business manager,age,0-16 years old,0.0
business manager,age,16-24 years old,4.22
business manager,age,25-34 years old,19.17
business manager,age,35-44 years old,24.28
business manager,age,45-54 years old,22.45
business manager,age,55-64 years old,19.97
business manager,age,65+ years old,9.92
business manager,race,white,71.94
business manager,race,black,8.54
business manager,race,asian,7.62
business manager,race,hispanic,11.9
business manager,gender,female,43.17
business manager,gender,male,56.83
carpenter,age,0-16 years old,0.0
carpenter,age,16-24 years old,10.11
carpenter,age,25-34 years old,19.55
carpenter,age,35-44 years old,22.76
carpenter,age,45-54 years old,20.58
carpenter,age,55-64 years old,18.13
carpenter,age,65+ years old,8.86
carpenter,race,white,61.24
carpenter,race,black,5.5
carpenter,race,asian,2.1
carpenter,race,hispanic,31.16
carpenter,gender,female,2.77
carpenter,gender,male,97.23
cashier,age,0-16 years old,0.0
cashier,age,16-24 years old,50.7
cashier,age,25-34 years old,16.72
cashier,age,35-44 years old,9.67
cashier,age,45-54 years old,7.73
cashier,age,55-64 years old,8.82
cashier,age,65+ years old,6.36
cashier,race,white,52.28
cashier,race,black,17.7
cashier,race,asian,7.83
cashier,race,hispanic,22.19
cashier,gender,female,71.99
cashier,gender,male,28.01
ceo,age,0-16 years old,0.0
ceo,age,16-24 years old,0.52
ceo,age,25-34 years old,6.41
ceo,age,35-44 years old,20.07
ceo,age,45-54 years old,27.03
ceo,age,55-64 years old,28.26
ceo,age,65+ years old,17.72
ceo,race,white,81.28
ceo,race,black,4.63
ceo,race,asian,7.07
ceo,race,hispanic,7.02
ceo,gender,female,28.88
ceo,gender,male,71.12
chef,age,0-16 years old,0.0
chef,age,16-24 years old,28.56
chef,age,25-34 years old,20.2
chef,age,35-44 years old,18.45
chef,age,45-54 years old,15.16
chef,age,55-64 years old,12.44
chef,age,65+ years old,5.2
chef,race,white,45.5
chef,race,black,17.11
chef,race,asian,8.8
chef,race,hispanic,28.6
chef,gender,female,39.39
chef,gender,male,60.61
childcare worker,age,0-16 years old,0.0
childcare worker,age,16-24 years old,30.93
childcare worker,age,25-34 years old,19.19
childcare worker,age,35-44 years old,14.13
childcare worker,age,45-54 years old,13.84
childcare worker,age,55-64 years old,13.38
childcare worker,age,65+ years old,8.53
childcare worker,race,white,57.82
childcare worker,race,black,14.05
childcare worker,race,asian,5.57
childcare worker,race,hispanic,22.56
childcare worker,gender,female,93.92
childcare worker,gender,male,6.08
civil engineer,age,0-16 years old,0.0
civil engineer,age,16-24 years old,6.43
civil engineer,age,25-34 years old,25.95
civil engineer,age,35-44 years old,20.39
civil engineer,age,45-54 years old,17.36
civil engineer,age,55-64 years old,18.91
civil engineer,age,65+ years old,10.96
civil engineer,race,white,70.52
civil engineer,race,black,5.32
civil engineer,race,asian,14.8
civil engineer,race,hispanic,9.36
civil engineer,gender,female,16.75
civil engineer,gender,male,83.25
cleaner,age,0-16 years old,0.0
cleaner,age,16-24 years old,13.23
cleaner,age,25-34 years old,15.77
cleaner,age,35-44 years old,18.07
cleaner,age,45-54 years old,19.91
cleaner,age,55-64 years old,21.21
cleaner,age,65+ years old,11.81
cleaner,race,white,43.46
cleaner,race,black,17.91
cleaner,race,asian,4.76
cleaner,race,hispanic,33.87
cleaner,gender,female,51.84
cleaner,gender,male,48.16
construction worker,age,0-16 years old,0.0
construction worker,age,16-24 years old,13.14
construction worker,age,25-34 years old,21.23
construction worker,age,35-44 years old,22.89
construction worker,age,45-54 years old,19.37
construction worker,age,55-64 years old,16.83
construction worker,age,65+ years old,6.53
construction worker,race,white,50.65
construction worker,race,black,8.7
construction worker,race,asian,3.15
construction worker,race,hispanic,37.5
construction worker,gender,female,6.35
construction worker,gender,male,93.65
cook,age,0-16 years old,0.0
cook,age,16-24 years old,42.96
cook,age,25-34 years old,16.69
cook,age,35-44 years old,11.37
cook,age,45-54 years old,11.01
cook,age,55-64 years old,11.68
cook,age,65+ years old,6.29
cook,race,white,52.09
cook,race,black,14.92
cook,race,asian,7.68
cook,race,hispanic,25.31
cook,gender,female,57.3
cook,gender,male,42.7
counselor,age,0-16 years old,0.0
counselor,age,16-24 years old,8.08
counselor,age,25-34 years old,25.59
counselor,age,35-44 years old,24.27
counselor,age,45-54 years old,18.31
counselor,age,55-64 years old,13.72
counselor,age,65+ years old,10.03
counselor,race,white,63.61
counselor,race,black,17.73
counselor,race,asian,4.15
counselor,race,hispanic,14.5
counselor,gender,female,74.9
counselor,gender,male,25.1
dental nurse,age,0-16 years old,0.0
dental nurse,age,16-24 years old,12.49
dental nurse,age,25-34 years old,29.25
dental nurse,age,35-44 years old,22.69
dental nurse,age,45-54 years old,16.47
dental nurse,age,55-64 years old,12.71
dental nurse,age,65+ years old,6.38
dental nurse,race,white,64.96
dental nurse,race,black,7.52
dental nurse,race,asian,6.85
dental nurse,race,hispanic,20.67
dental nurse,gender,female,93.84
dental nurse,gender,male,6.16
dentist,age,0-16 years old,0.0
dentist,age,16-24 years old,0.06
dentist,age,25-34 years old,19.39
dentist,age,35-44 years old,23.35
