group,attribute,value,pct
salesperson,age,35-44 years old,16.82
salesperson,age,45-54 years old,15.33
salesperson,age,55-64 years old,15.54
salesperson,age,65+ years old,10.6
salesperson,race,white,64.5
salesperson,race,black,12.99
salesperson,race,asian,5.78
salesperson,race,hispanic,16.73
salesperson,gender,female,52.81
salesperson,gender,male,47.19
scientist,age,0-16 years old,0.0
scientist,age,16-24 years old,9.7
scientist,age,25-34 years old,30.64
scientist,age,35-44 years old,22.61
scientist,age,45-54 years old,15.31
scientist,age,55-64 years old,13.57
scientist,age,65+ years old,8.16
scientist,race,white,64.55
scientist,race,black,7.66
scientist,race,asian,18.54
scientist,race,hispanic,9.25
scientist,gender,female,46.29
scientist,gender,male,53.71
secretary,age,0-16 years old,0.0
secretary,age,16-24 years old,12.47
secretary,age,25-34 years old,19.42
secretary,age,35-44 years old,16.34
secretary,age,45-54 years old,17.48
secretary,age,55-64 years old,20.52
secretary,age,65+ years old,13.78
secretary,race,white,64.27
secretary,race,black,13.07
secretary,race,asian,6.0
secretary,race,hispanic,16.66
secretary,gender,female,83.24
secretary,gender,male,16.76
security guard,age,0-16 years old,0.0
security guard,age,16-24 years old,27.35
security guard,age,25-34 years old,19.66
security guard,age,35-44 years old,13.61
security guard,age,45-54 years old,11.85
security guard,age,55-64 years old,15.32
security guard,age,65+ years old,12.22
security guard,race,white,50.37
security guard,race,black,27.1
security guard,race,asian,5.46
security guard,race,hispanic,17.07
security guard,gender,female,34.24
security guard,gender,male,65.76
social worker,age,0-16 years old,0.0
social worker,age,16-24 years old,5.95
social worker,age,25-34 years old,24.93
social worker,age,35-44 years old,22.75
social worker,age,45-54 years old,19.65
social worker,age,55-64 years old,16.07
social worker,age,65+ years old,10.65
social worker,race,white,57.73
social worker,race,black,21.46
social worker,race,asian,4.49
social worker,race,hispanic,16.32
social worker,gender,female,79.79
social worker,gender,male,20.21
software developer,age,0-16 years old,0.0
software developer,age,16-24 years old,7.81
software developer,age,25-34 years old,26.37
software developer,age,35-44 years old,25.93
software developer,age,45-54 years old,19.57
software developer,age,55-64 years old,14.85
software developer,age,65+ years old,5.46
software developer,race,white,61.42
software developer,race,black,8.62
software developer,race,asian,20.52
software developer,race,hispanic,9.44
software developer,gender,female,24.63
software developer,gender,male,75.37
soldier,age,0-16 years old,0.0
soldier,age,16-24 years old,35.47
soldier,age,25-34 years old,32.34
soldier,age,35-44 years old,22.21
soldier,age,45-54 years old,8.43
soldier,age,55-64 years old,1.13
soldier,age,65+ years old,0.42
soldier,race,white,61.08
soldier,race,black,15.51
soldier,race,asian,6.48
soldier,race,hispanic,16.93
soldier,gender,female,15.61
soldier,gender,male,84.39
stock clerk,age,0-16 years old,0.0
stock clerk,age,16-24 years old,31.55
stock clerk,age,25-34 years old,22.56
stock clerk,age,35-44 years old,15.04
stock clerk,age,45-54 years old,12.82
stock clerk,age,55-64 years old,12.2
stock clerk,age,65+ years old,5.82
stock clerk,race,white,52.51
stock clerk,race,black,20.16
stock clerk,race,asian,5.31
stock clerk,race,hispanic,22.02
stock clerk,gender,female,28.68
stock clerk,gender,male,71.32
surveying technician,age,0-16 years old,0.0
surveying technician,age,16-24 years old,14.46
surveying technician,age,25-34 years old,21.4
surveying technician,age,35-44 years old,18.72
surveying technician,age,45-54 years old,17.08
surveying technician,age,55-64 years old,16.17
surveying technician,age,65+ years old,12.17
surveying technician,race,white,78.07
surveying technician,race,black,4.76
surveying technician,race,asian,3.69
surveying technician,race,hispanic,13.49
surveying technician,gender,female,10.43
surveying technician,gender,male,89.57
taxi driver,age,0-16 years old,0.0
taxi driver,age,16-24 years old,4.4
taxi driver,age,25-34 years old,17.7
taxi driver,age,35-44 years old,22.96
taxi driver,age,45-54 years old,20.59
taxi driver,age,55-64 years old,20.3
taxi driver,age,65+ years old,14.05
taxi driver,race,white,37.63
taxi driver,race,black,24.08
taxi driver,race,asian,14.54
taxi driver,race,hispanic,23.75
taxi driver,gender,female,19.0
taxi driver,gender,male,81.0
teacher,age,0-16 years old,0.0
teacher,age,16-24 years old,9.98
teacher,age,25-34 years old,20.81
teacher,age,35-44 years old,21.54
teacher,age,45-54 years old,19.54
teacher,age,55-64 years old,16.22
teacher,age,65+ years old,11.92
teacher,race,white,70.89
teacher,race,black,10.57
teacher,race,asian,6.46
teacher,race,hispanic,12.08
teacher,gender,female,72.94
teacher,gender,male,27.06
technician,age,0-16 years old,0.0
technician,age,16-24 years old,4.46
technician,age,25-34 years old,23.3
technician,age,35-44 years old,25.39
technician,age,45-54 years old,19.71
technician,age,55-64 years old,18.21
technician,age,65+ years old,8.93
technician,race,white,70.65
technician,race,black,8.87
technician,race,asian,8.67
technician,race,hispanic,11.8
technician,gender,female,67.85
technician,gender,male,32.15
therapist,age,0-16 years old,0.0
therapist,age,16-24 years old,5.12
therapist,age,25-34 years old,27.59
therapist,age,35-44 years old,23.0
therapist,age,45-54 years old,18.86
therapist,age,55-64 years old,14.11
therapist,age,65+ years old,11.32
therapist,race,white,75.46
therapist,race,black,9.23
therapist,race,asian,5.54
therapist,race,hispanic,9.76
therapist,gender,female,79.75
therapist,gender,male,20.25
truck driver,age,0-16 years old,0.0
truck driver,age,16-24 years old,12.35
truck driver,age,25-34 years old,24.73
truck driver,age,35-44 years old,20.8
truck driver,age,45-54 years old,19.11
truck driver,age,55-64 years old,17.91
truck driver,age,65+ years old,5.08
truck driver,race,white,44.39
truck driver,race,black,26.54
truck driver,race,asian,2.9
truck driver,race,hispanic,26.17
truck driver,gender,female,9.28
truck driver,gender,male,90.72
unemployed or not in universe,age,0-16 years old,48.47
unemployed or not in universe,age,16-24 years old,8.28
unemployed or not in universe,age,25-34 years old,2.73
unemployed or not in universe,age,35-44 years old,3.3
unemployed or not in universe,age,45-54 years old,3.65
unemployed or not in universe,age,55-64 years old,6.58
unemployed or not in universe,age,65+ years old,26.99
unemployed or not in universe,race,white,58.25
unemployed or not in universe,race,black,14.45
unemployed or not in universe,race,asian,6.62
unemployed or not in universe,race,hispanic,20.68
unemployed or not in universe,gender,female,53.77
unemployed or not in universe,gender,male,46.23
veterinarian,age,0-16 years old,0.0
veterinarian,age,16-24 years old,0.1
veterinarian,age,25-34 years old,25.3
veterinarian,age,35-44 years old,27.75
veterinarian,age,45-54 years old,17.58
veterinarian,age,55-64 years old,15.17
veterinarian,age,65+ years old,14.11
veterinarian,race,white,87.25
veterinarian,race,black,2.22
veterinarian,race,asian,5.02
veterinarian,race,hispanic,5.51
veterinarian,gender,female,63.9
veterinarian,gender,male,36.1
waiter,age,0-16 years old,0.0
waiter,age,16-24 years old,55.86
waiter,age,25-34 years old,19.22
waiter,age,35-44 years old,9.7
waiter,age,45-54 years old,6.22
waiter,age,55-64 years old,5.95
waiter,age,65+ years old,3.05
waiter,race,white,58.28
waiter,race,black,12.48
waiter,race,asian,7.52
waiter,race,hispanic,21.72
waiter,gender,female,68.42
waiter,gender,male,31.58
welder,age,0-16 years old,0.0
welder,age,16-24 years old,12.61
welder,age,25-34 years old,23.92
welder,age,35-44 years old,21.7
welder,age,45-54 years old,17.59
welder,age,55-64 years old,16.71
welder,age,65+ years old,7.47
welder,race,white,66.0
welder,race,black,8.12
welder,race,asian,3.29
welder,race,hispanic,22.59
welder,gender,female,5.11
welder,gender,male,94.89
writer,age,0-16 years old,0.0
writer,age,16-24 years old,7.63
writer,age,25-34 years old,21.26
writer,age,35-44 years old,21.12
writer,age,45-54 years old,17.33
writer,age,55-64 years old,16.81
writer,age,65+ years old,15.85
writer,race,white,81.05
writer,race,black,7.27
writer,race,asian,4.84
writer,race,hispanic,6.84
writer,gender,female,56.83
writer,gender,male,43.17
